airline_sentiment,text
positive,@JetBlue unfortunately no- but hoping I can catch one sometime in the near future!
positive,@united + UA has been rolling out improvements too- we think. Hoping they'll catch up soon? Meantime- ANA is our preference!
positive,@VirginAmerica still waiting to see  @Starryeyes_Dev_  ð
positive,@SouthwestAir F5R3ZZ
positive,@USAirways Im researching a flight &amp
positive,@united that's what I thought! Thanks for the clarification!
positive,@JetBlue's CEO Battles to Appease Passengers and Wall Street - http://t.co/frrfxCCw7Z http://t.co/nKlW9SsVRQ
positive,@SouthwestAir I am but it says yall are sold out. Me &amp
positive,@SouthwestAir I noticed the rates increased a few days ago- or the promotion ended. Any idea when another promotion will be coming?? Thanks!
positive,@SouthwestAir sure. Fhk2te. Am scheduled to leave this weekend but need to push to October
positive,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE
positive,@united roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin- pretty pricey via United. Can you match them?
positive,Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”
positive,@SouthwestAir myself and 2 others
positive,@SouthwestAir the 5:50 is sold out too?
positive,@USAirways will my known traveler no. transfer over from @AmericanAir ? when I check in at t-24 as an AA elite I can get choice seats?
positive,"@USAirways I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!"
positive,@united thank you!!!!! And next flight to Durango then driving to Farmington New Mexico for work! But hitting the slopes in Durango!
positive,@SouthwestAir @gruber Finally.
positive,@SouthwestAir any idea on flights to Nashville tomorrow being clear or Cancelled Flightled
positive,@SouthwestAir @NotPghTimothy no exceptions for national awards?
positive,@united Confirmation number: NJV4BP - All I need is email confirmation of flight from NYC - SFO Feb 4
positive,@VirginAmerica morning. If I have a question regarding elevate points &amp
positive,"@united I normally ask people to put on headphones...but not toddlers. Maybe planes should have a ""kid"" section (near the back) "
positive,@VirginAmerica Are there any sign up bonuses to enroll in Elevate?
positive,"@SouthwestAir Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!"
positive,@united Is there a way to get  a copy of Feb's edition of Hemisphere
positive,@USAirways is there any way that you could hold flight 628 in CLT my husband is stuck in the security check line. flight scheduled for 1PM
positive,@JetBlue CEO battles to please Wall St and flyers - from @NZherald http://t.co/Q4Amiw7FSw
positive,@united Is there a direct number to call to request a refund?  Its telling me its not valid as I changed the ticket.  No number on site
positive,@SouthwestAir I am following you now. I don't think I can DM until you follow me.
positive,@SouthwestAir or you could send me a DM.
positive,@SouthwestAir followed.
positive,@JetBlue how do I get a copy of my last flight showing original time and delay? I need it for work. Thanks!
positive,@SouthwestAir Already rebooked for tomorrow. Fingers crossed!
positive,@JetBlue okayyyy. But I had huge irons on way out. Promise no shenanigans?
positive,"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl"
positive,@USAirways what is the baggage allowance on flights from Glasgow to the US?  Thanks
positive,@SouthwestAir Happily! But you need to follow me in order for me to DM you
positive,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Weyburn Review http://t.co/rtQyjCvTQ3
positive,@JetBlue if my flight says delayed with estimated departure listed- can I arrive at airport Late Flightr?
positive,@SouthwestAir I absolutely will. Where can I send it?
positive,@USAirways please hold 3923! I can see it. Just can't get off my first plane quick enough
positive,@VirginAmerica Can you give me Silver Status for 12 months?
positive,@united Q: Just purchased ticket to #Hawaii for trip in Late Flight-March. Does this mean we will acquire miles based on price or distance flown?
positive,@JetBlue alittle more money to book our flights... we're 1/2 way there :)
positive,@SouthwestAir RDU flights expected to be ok this afternoon and tonight?
positive,@JetBlue @roxydigital Good. I want extra peanuts on my flight then. lol. #JVMChat
positive,@USAirways  my flight was #3729...but I left my phone on the plane or the shuttle :(
positive,@JetBlue Well- I try! See you soon!! @JayVig
positive,@JetBlue @vegecomgirl For me it’s not until 6/15.
positive,@united What is the policy behind changing passengers' seating assignments at the gate?
positive,@USAirways Darn it- first in line for no upgrade! Wish I understood the policy. :) http://t.co/xGPaAyFDwt
positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
positive,@SouthwestAir LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! #LOVESOUTHWESTAIR
positive,@SouthwestAir nice work on the update!
positive,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :)
positive,@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.
positive,@united New Apple crâpe- amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits- UA needs them 2 http://t.co/gZ9GqDT7Jj
positive,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?
positive,@SouthwestAir Beautiful- thanks a ton!
positive,@SouthwestAir finally!
positive,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!
positive,@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx
positive,@SouthwestAir  Thank you.
positive,@USAirways thanks for the reply- hoping everything is cleared up in Charlotte by Monday
positive,@USAirways  thanks I hope I get to my destination
positive,@JetBlue Thank you!
positive,@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge
positive,@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?
positive,@USAirways thanks
positive,@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.
positive,@USAirways will do. Hoping for a voucher for a future flight #Optimistic
positive,@JetBlue @EllaHenderson omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at #LFT5
positive,@JetBlue she was a phone agent- pls do! Peggy was pleasant- informative and delivered. ⭐️⭐️⭐️⭐️⭐️
positive,@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline ð
positive,@united I appreciate the follow up.
positive,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
positive,"@united no worries about the tweets. We all should do what we can to make sure we- as in your tag line- ""Fly the Friendly Skies."""
positive,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!
positive,@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights- planes and service
positive,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! ð
positive,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.
positive,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc
positive,@SouthwestAir its all good. flight eventually took off- and landed safely. oh- and I got the free cup o wine. thx
positive,@SouthwestAir and thanks!
positive,@JetBlue Seems very likely.
positive,@JetBlue I did...#FlyFi worked well and was free aboard this flight
positive,@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation.
positive,@SouthwestAir you guys are awesome... #dontchangeathing #luv
positive,@JetBlue thanks!! Great service in #T5 already! #lovejetBlue
positive,@JetBlue tough choices but I did all simultaneously! As a business traveler- best experience in a long time. #wishmyflightwaslonger #what
positive,@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.
positive,@SouthwestAir about time! Thank you!
positive,@SouthwestAir is having a sale! I'm delighted!
positive,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ
positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
positive,@JetBlue huge fan of great brands and people doing great things… you guys rock happy to share the love!
positive,@SouthwestAir Thanks a ton!
positive,@SouthwestAir thank you- someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response
positive,@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!
positive,@SouthwestAir always when I fly SW. #loyalRRmember
positive,@United WiFi onboard 737-800 far superior in pricing and performance (user-perceived bandwidth and Late Flightncy) to recent @GoGo experiences.
positive,@JetBlue Thank you!
positive,@SouthwestAir yes. Thank you. Oct 25-oct 31
positive,@USAirways — I had exceptional service on flight #403 from IND to PHX!!
positive,@SouthwestAir no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!
positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
positive,@USAirways Fabulous - thank you so much! Looking forward to taking to the skies with you! :)
positive,@united stay warm - I will be passing through Chicago next week
positive,@SouthwestAir no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763
positive,@USAirways customer service at its finest
positive,@JetBlue was just at T5 a little over a month ago. @JetBlue you guys are great thanks for everything!
positive,@united doing a good thing- holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time
positive,@USAirways thank you! I tried that and they said they didn't have it. Anywhere else to try?
positive,@JetBlue @roxydigital HAHA. you didn’t disappoint. Well done. #JVMChat
positive,@JetBlue @JayVig YES! Great real-time example. Thanks for being awesome- #JetBlue! #JVMChat
positive,@SouthwestAir @PaytonTaylor129 I love Southwest and Payton Taylor!
positive,@JetBlue @JayVig @roxydigital awww ^_^ R to the T- realtime appreciation from JetBlue #rockingthetweets #JVMChat
positive,@JetBlue @JayVig I like the inflight snacks! I'm flying with you guys on 2/28! #JVMChat
positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
positive,@united on a good note- the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!
positive,@USAirways Haha - that will indeed be a great day!
positive,@SouthwestAir thanks- got put on the am flight tomorrow.  Don't have much faith it'll get off the ground tomorrow though.
positive,@USAirways Absolutely!! The staff was amazing!!
positive,@JetBlue - BlueManity brought tears to my eyes. JetBlue' s commitment to giving back to the crewmembers and the community is aww inspiring!
positive,@VirginAmerica you guys are perfect as always! &lt
positive,@SouthwestAir finally got through. Thanks!
positive,@USAirways Thank you so much its been a very stressful day
positive,@SouthwestAir Another great flight &amp
positive,@USAirways I was supposed to be on flight 1861 from Charlotte to RDU @ 8:20pm yesterday. Is the same flight scheduled for departure tonight?
positive,@SouthwestAir just did- thank you
positive,@USAirways unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now #planestrainsandautomobiles
positive,@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_
positive,@SouthwestAir Just sent you a DM with the details.
positive,@united No- not received any e-mails in either Inbox or junk/spam
positive,@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!
positive,@SouthwestAir chances of flight leaving BNA tomorrow at 6:20 am (to LGA)?
positive,@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?
positive,@JetBlue 2:55 tomorrow from RIC to BOS. Looking good or am I better rescheduling?
positive,@JetBlue Thank you that it is not just a livery
positive,@USAirways done
positive,@SouthwestAir  Tried to DM you- it won't let me as it says you are not following me.
positive,@JetBlue rocking the Tim McGraw hold music
positive,@JetBlue Haha. I figured that. I was meaning there's no return flights out of Charlotte. It's like N/A for a week plus
positive,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Times Colonist http://t.co/NzDXRvszWv
positive,@SouthwestAir thank you for the response. How can I got about getting the points onto my rewards account?
positive,@SouthwestAir we desparately need yall to make a nonstop BNA-&gt
positive,@JetBlue I will. I love flying with you all. Great service.
positive,@VirginAmerica so loyal that I'm driving to #NYC from #PA- to fly Virgin-  since you cut #Philly flights 
positive,@SouthwestAir I got a flight at 11:55am on Thursday but looking for something tomorrow- anything available?
positive,@united Thanks- ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.
positive,@JetBlue i'm getting info from the website- but needing to check it and the alerts would be much more beneficial.
positive,@SouthwestAir from LGA to San Diego
positive,@SouthwestAir thanks I think we've got it figured out
positive,@JetBlue Great thanks
positive,@SouthwestAir needs to offer a college student discount so i can fly home ð
positive,@SouthwestAir Is there any way to add a Known Traveler Number to an existing reservation online?  If not- why not?
positive,@JetBlue Thank you for the service credit. And to @PamGrout for positive thoughts.
positive,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :)
positive,@SouthwestAir Thank you. The email about RR pts &amp
positive,@united was never given one
positive,@SouthwestAir - just talking to customer service @united makes me appreciate you even more!  They could learn so much from you!
positive,@SouthwestAir Thank you so much for stepping up your game and making my day after night of elevator music. Much appreciated.
positive,@united flt 4567 has had two more updates in the last 3 minutes.
positive,@united looks like I'm settled in to where I'm going.  Thx.
positive,@SouthwestAir haha...yeah i did- just making a joke
positive,@JetBlue do they have to depart from Washington- D.C.??
positive,@JetBlue I would love for you to fly my best friend home to PVD for a weekend. ð http://t.co/cH0Nmjy
positive,@USAirways please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034
positive,@JetBlue Airways Short Interest Down 3.5% in January (JBLU) - sleekmoney http://t.co/znsUjP86Bv
positive,@USAirways right on. Up. Up &amp
positive,@USAirways Would love to combine AA and USAir accts. Unfortunately- one has my middle name &amp
positive,@SouthwestAir what does TSA Pre on my boarding pass mean? http://t.co/0HmmQCzkCf
positive,@JetBlue I would go for 3rd time to Jamaica to volunteer w/ at risk youth #flyitforward #dc #stpatricksfoundation #rotary
positive,@SouthwestAir Sent. Thanks VP!
positive,@JetBlue great smooth flight too! ð
positive,@SouthwestAir @TomVH just get the RR credit card and get the points of family that way
positive,@USAirways thanks Travis at PHL A East checkin for knowing baggage policies. Skis &amp
positive,@JetBlue I would fly somewhere hotter then here. Puerto Rico here I come. Lol
positive,@JetBlue Connecticut❄️
positive,@SouthwestAir Hi there! I just got my known traveler# and would like to add it to a flight that I already purchased. What's my best option?
positive,@SouthwestAir been with my GF for 2.5yrs- she's from SF &amp
positive,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG
positive,@JetBlue I applied for a job at PDW where could I go for follow up. I'd really love the job #ilovejetblue
positive,@USAirways after missing my flight and reFlight Booking Problems 2x- I just walked onto another flight and my phone was still on the seat!!
positive,@JetBlue I did get the email. Thought i wasn't supposed to reply to thoseð
positive,"@SouthwestAir I understand. Wonderful ""Miriam"" in customer service who was able to reroute me... Got any rental car discounts?"
positive,@JetBlue thank you. Just sent msg.
positive,@united took this picture on Thursday. #awesome http://t.co/IVGpZSjtkW
positive,@united Sure did! Only waited about 15min. Yay!
positive,@SouthwestAir employees spreading a bit of #MardiGras cheer at 7:30 this morning in Atlanta  #NFTYConvention http://t.co/ttbtY89Ilo
positive,@JetBlue Haha you're doing everything right! Don't change a thing! Slash this Twitter engagement just makes you even cooler! #bestairline
positive,@SouthwestAir haha- thanks for the explanation
positive,“@JetBlue: We’re looking for our next #FlyingItForward flier from DC Tell us where you'd fly &amp
positive,@JetBlue's new CEO Robin Hayes battles to appease passengers and Wall Street - Business In Savannah http://t.co/KKAY8XaPs1
positive,@USAirways nice touch with using my first name.  Very intimate.  I'll be filing a claim soon to be reimbursed. Have a us airways day!
positive,@SouthwestAir JH thank you. I finally got through the second time.
positive,@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs
positive,@JetBlue what is the name of this tailfin? http://t.co/qxV45MV0Ug
positive,@USAirways how about a drink voucher for the next flight?? #winkwink
positive,@VirginAmerica Dear Virgin customer- while you're stranded in SF for 3 days &amp
positive,@SouthwestAir you need this song for your next commercial!  https://t.co/jU9rHZ4RQc. #SWA #love
positive,.@VirginAmerica not only was it great- but you return my calls the day after. Couldn't ask for more. #myVXexperience
positive,@USAirways thanks. ð
positive,@united Could you tell me if this bag would be accepted as a personal item ? Can i bring one carry-on bag plus this? http://t.co/U390cZpLHl
positive,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan
positive,@USAirways that's why u guys are my #1 choice.
positive,@united Hi again- any updates here?
positive,@JetBlue I would fly to Washington  DC to see the actual Constitution  and the Declaration of Independence- in honor of a US Navy friend.
positive,@SouthwestAir thanks for the reply- something is off with the phones becuz after 2 dropped calls at 2 hours on hold- I got through on 1 ring
positive,@JetBlue marks 15th birthday with @Airbus #A320 painted in 'Blumanity' paint job http://t.co/9vTFM7kNad
positive,@united take a lesson from @VirginAmerica - they know how to treat customers!
positive,@SouthwestAir confirmation number for new reservation is FP9M6Y I am traveling with a 3 year old. please email? jennifer.cascino@gmail.com
positive,@united thank you! ð
positive,@united sorry- wrong link for the bag : http://t.co/pZAl4wtrEZ Thats the one i meant
positive,@SouthwestAir your employees were great!
positive,@SouthwestAir what is DM?
positive,@USAirways Sending thanks to employee Freddie in PHL Admiral Club A East for allowing me to give a day pass to my sibling stuck there today.
positive,@united can you send me another confirmation email?
positive,@SouthwestAir can i take my electric skateboard on a domestic flight? if so- do same policies listed on your site for regular boards apply?
positive,@JetBlue This could be the beginning of a BLUEtiful relationship :) #lifeneedsfrosting
positive,@united No- I do not. I was only given a Flight Booking Problems reference number.
positive,@JetBlue @CinziannaP thank you! I like the quick response on Twitter!
positive,@JetBlue thanks for the upgradeð!! so far so good. #KeepItUp http://t.co/BKmfeY7
positive,@JetBlue are we good?
positive,@JetBlue thanks!
positive,@JetBlue thank you. Is there a possibility it will change?
positive,@united Currently on standby to Lax then it is a 2 hour ride to Palm Springs. Long day starting at a snowy 3:30 am in philly.
positive,@united done just now- thanks.
positive,@VirginAmerica how come ABC is the only one of the network channels you don't have?
positive,@united Thanks for the timely service &amp
positive,@united  @MrAndyEp like 2 weeks after my flight!?!? Creative!
positive,@united holy high speed internet batman!  Speeds at United Club at IAD are insanely fast!  Thanks
positive,@JetBlue love traveling with Jetblue. Cant wait to go to Paris oui oui!!! NYC was awesomeee!
positive,@SouthwestAir can u get me on flt #3768 instead of #2522 rt now
positive,Aww- is it? @JetBlue I guess now I need to book a flight to somewhere warm ASAP! Any suggestions?
positive,@JetBlue Airways Adds New Charter #Flight to Cuba - #Travel Wires (blog) http://t.co/Swb1gR57Cc
positive,@USAirways YOU ARE AMAZING!!! YOU ARE THE BEST!!! FOLLOW ME PLEASE AND I FOLLOW YOU BACK
positive,@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines
positive,@USAirways conf number FMJTYL delayed - any chance of getting an earlier flight fll to phx?
positive,@SouthwestAir I'm scheduled to come back tomorrow- finally but I don't know SWA hasn't flown out of @Fly_Nashville yet but @Delta has
positive,"@SouthwestAir your social media team just said ""sorry"". Thankfully submitting a complaint got resolution from an amazing rep who called."
positive,@JetBlue I know where you guys jet! LOL- but if you love me so much- help a brother out :) Hot weather- great nightlife- 2-3 hour flight
positive,"@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print-"" haha"
positive,@SouthwestAir When are you going to be flying in and out of Nashville? The Deicer is in. Are you short on planes and is it tomorrow morning?
positive,@JetBlue is bag check cut off 30 minutes before the original departure time or the estimated time shown online?
positive,@JetBlue Does your home airport not count in the badge system? My TB account says 2 flights but I've taken 3 this year.
positive,@SouthwestAir Amazing customer service as well. Will definitely fly with you guys again if my instrument is involved. #10/10
positive,@united Got it.  I am following the United page.
positive,@united do you think there Will problems at Newark- NJ on Saturday due to expected snow?
positive,First base already? I like your style @JetBlue
positive,@USAirways YOU ARE THE BEST AIRWAYS! Follow me please!!!!!ððððððð
positive,@SouthwestAir When do you all expect to open the reservation through November?
positive,@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her
positive,@united The guidelines say 10x9x17- my bag is 20x15.7x8.7- so it's a bit taller than the guidelines. Is that gonna be a problem?
positive,@USAirways thanks!
positive,@United Airlines' CEO Jeff Smisek: Disloyal to Loyal Workers http://t.co/0cevY3P42b via @HuffPostBiz
positive,@SouthwestAir think you need to follow me for a DM
positive,@JetBlue don't worry- I'm gonna share with my row! ð
positive,@JetBlue thanks!
positive,@USAirways YOU ARE AMAZING!!! YOU ARE THE BEST!!! FOLLOW ME PLEASE ððð
positive,@southwestair TREMENDOUS job. Atlanta Airport saw SW celebrate Mardi Gras. Another reason I'm nuts for you guys! http://t.co/8WBzOrRn3C
positive,@united I’m resending the confirmation code in a DM
positive,@united for our birthdays my fiancé &amp
positive,@united Can you explain how it rewards us elite Premiere 1K members?
positive,@USAirways Thank you. And thanks for being so accommodating.
positive,@SouthwestAir You guys must have been swamped- even took our corporate travel a long time to get in- but everything worked out in the end.
positive,@JetBlue No not yet. I will notify them. I'm new at this! ð
positive,@USAirways YOU ARE THE BEST AIRWAYS!!!!!!!!!! FOLLOW ME BACK- PLEASE ðððððððððð
positive,@SouthwestAir Awwweesssooomee!
positive,@united Hi- can you email me here so i can share the details? Thanks. frank@postsecret.com
positive,@VirginAmerica wifi AND better seating.
positive,@SouthwestAir when will the winners of #DestinationDragons be announced?
positive,@united I believe you have to follow me in order for me send you a DM
positive,@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C
positive,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)
positive,@VirginAmerica Dad on Segway is the best part of this whole infographic!
positive,@VirginAmerica On all your flights?
positive,@JetBlue Airways Sees Significant Drop in Short Interest (JBLU) - Mideast Time http://t.co/SSBaUJtOuW
positive,@VirginAmerica you got cheese pLate Flights too.
positive,.@VirginAmerica I heard he has a virgin mobile hotspot 
positive,"@JetBlue It's for me- I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago"
positive,@VirginAmerica Good point!
positive,@JetBlue we don't need anybody else!
positive,@JetBlue If you have well-priced flights to #Oahu - we could be best friends. @vincenzolandino
positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
positive,@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch
positive,@united Well- It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:)
positive,@united Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin?
positive,@JetBlue Call me when you do and we’ll have to hook up!
positive,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :)
positive,@USAirways Flight # 604. Thanks.
positive,@united @gg8929 Ladies and gents - United Airlines...
positive,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️
positive,seriously- I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2
positive,@JetBlue this makes me happy. I hope these aren't empty promises.
positive,"@JetBlue Flight 1133 (N353JB) ""Blue La La"" departs @mco enroute to San Juan International Airport http://t.co/SWZm2fX3nu"
positive,@SouthwestAir we're flying out tomorrow! PLEASE DONT Cancelled Flight!! Lol ð
positive,@united JT thanks for your help I’ll complete the form once we are back home
positive,@united but the gate agent and club staff got me priority standby for next so might only be minor disaster...#travelingwithsmallkids
positive,@SouthwestAir On flight 771 tomorrow (Wed 2/18) DEN-BNA. Will we be delayed or Cancelled Flightled?
positive,@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt
positive,@JetBlue @vincenzolandino @CBarrows You take to me places @united simply can't...like non-stop to St. Lucia.
positive,@USAirways I will be traveling from LAX to CLT to HTS- I have been rebooked for tomorrow due to the travel advisory.
positive,@USAirways @satesq theres only one flt PHL-CRW per day.
positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
positive,@USAirways Frustrating days!No flights home- changed airlines. Thank you PHL USAirway employees &amp
positive,@united 877 from amsterdam to ewr- 02.27.2015- 737-300.
positive,@VirginAmerica I don’t use Passbook =/ I still love you though &lt
positive,@SouthwestAir About time...and just in time for my next flight Thursday.
positive,@JetBlue That's right! :) Game- set- match.
positive,@united do you have an e-mail address I can write my account to? Might be less likely to disappear
positive,@SouthwestAir iiiii need help with my flight schedule!!! haha
positive,@SouthwestAir Thank you. I know ya'll can't control the weather. I appreciate ya'll working to get my flight rebooked the last two days.
positive,@united Yesterday- I'm sorted now.
positive,@JetBlue's CEO battles to appease passengers and Wall Street - http://t.co/uy28D1UEgX http://t.co/vJFV7KSGcQ
positive,@VirginAmerica I love the dancing little richard. cool beans.
positive,@united no thanks
positive,"@united Does the economy plus cabin also qualifies as a ""premium"" cabin?"
positive,@SouthwestAir Thanks. I'll keep checking. I'm trying to book our first Disney World vacation.
positive,@JetBlue     Is it only $50 for my 2nd bag?  1st bag too full..
